=== Optimizer Hyperparameter Tuning: Particle Swarm Optimization ===
Total combinations: 192

83/192 | MAE: 1.236 ± 2.864 | RMSE: 1.236 ± 2.864 | R²: 0.991 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
84/192 | MAE: 0.622 ± 0.795 | RMSE: 0.622 ± 0.795 | R²: 0.999 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
85/192 | MAE: 3.939 ± 7.007 | RMSE: 3.939 ± 7.007 | R²: 0.939 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
86/192 | MAE: 2.341 ± 6.442 | RMSE: 2.341 ± 6.442 | R²: 0.956 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
87/192 | MAE: 0.592 ± 0.625 | RMSE: 0.592 ± 0.625 | R²: 0.999 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
88/192 | MAE: 3.961 ± 7.693 | RMSE: 3.961 ± 7.693 | R²: 0.930 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
89/192 | MAE: 1.690 ± 4.718 | RMSE: 1.690 ± 4.718 | R²: 0.977 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
90/192 | MAE: 0.899 ± 1.159 | RMSE: 0.899 ± 1.159 | R²: 0.998 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
91/192 | MAE: 2.281 ± 4.732 | RMSE: 2.281 ± 4.732 | R²: 0.974 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
92/192 | MAE: 1.115 ± 2.152 | RMSE: 1.115 ± 2.152 | R²: 0.994 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
93/192 | MAE: 0.566 ± 0.737 | RMSE: 0.566 ± 0.737 | R²: 0.999 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
94/192 | MAE: 2.871 ± 6.655 | RMSE: 2.871 ± 6.655 | R²: 0.951 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
95/192 | MAE: 0.993 ± 1.712 | RMSE: 0.993 ± 1.712 | R²: 0.996 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
96/192 | MAE: 0.712 ± 1.056 | RMSE: 0.712 ± 1.056 | R²: 0.998 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
97/192 | MAE: 3.548 ± 7.117 | RMSE: 3.548 ± 7.117 | R²: 0.941 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
98/192 | MAE: 1.872 ± 5.195 | RMSE: 1.872 ± 5.195 | R²: 0.971 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
99/192 | MAE: 0.860 ± 2.245 | RMSE: 0.860 ± 2.245 | R²: 0.995 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
100/192 | MAE: 3.417 ± 7.294 | RMSE: 3.417 ± 7.294 | R²: 0.939 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
101/192 | MAE: 1.305 ± 3.164 | RMSE: 1.305 ± 3.164 | R²: 0.989 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
102/192 | MAE: 0.641 ± 0.935 | RMSE: 0.641 ± 0.935 | R²: 0.999 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
