107/162: MAE = 14.6792 ± 21.0160, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
108/162: MAE = 14.3898 ± 19.7613, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
109/162: MAE = 8.3108 ± 14.2416, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
110/162: MAE = 8.6523 ± 13.2080, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
111/162: MAE = 8.2922 ± 13.2875, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
112/162: MAE = 7.7926 ± 14.0499, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
113/162: MAE = 7.8253 ± 12.3829, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
114/162: MAE = 9.0780 ± 14.0944, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
115/162: MAE = 11.1567 ± 17.9895, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
116/162: MAE = 10.7572 ± 18.6785, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
117/162: MAE = 9.7720 ± 17.6852, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
118/162: MAE = 11.7126 ± 18.2351, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
119/162: MAE = 10.2923 ± 17.6777, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
120/162: MAE = 11.0946 ± 18.1996, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
121/162: MAE = 13.6210 ± 19.5531, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
122/162: MAE = 13.8712 ± 19.9983, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
123/162: MAE = 14.4594 ± 19.3618, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
124/162: MAE = 15.9119 ± 21.0712, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
125/162: MAE = 14.3038 ± 20.2466, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
126/162: MAE = 14.5329 ± 20.7255, params = {'n_init': 15, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
127/162: MAE = 6.8092 ± 11.6028, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
128/162: MAE = 7.9023 ± 13.2869, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
129/162: MAE = 7.8929 ± 12.8474, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
130/162: MAE = 9.5347 ± 15.4133, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
131/162: MAE = 7.9423 ± 15.0704, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
132/162: MAE = 6.9786 ± 13.1978, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
133/162: MAE = 10.2634 ± 18.7440, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
134/162: MAE = 9.4786 ± 17.1301, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
135/162: MAE = 11.1112 ± 16.9502, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
136/162: MAE = 11.7473 ± 18.7577, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
137/162: MAE = 10.1998 ± 16.3457, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
138/162: MAE = 9.4492 ± 16.3123, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
139/162: MAE = 14.0251 ± 21.4506, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
140/162: MAE = 14.3792 ± 21.1968, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
141/162: MAE = 13.6532 ± 20.2829, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
142/162: MAE = 12.9223 ± 18.3697, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
143/162: MAE = 14.1023 ± 20.4765, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
144/162: MAE = 13.5582 ± 19.3040, params = {'n_init': 15, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
145/162: MAE = 6.7078 ± 12.8224, params = {'n_init': 15, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
146/162: MAE = 8.5973 ± 14.4219, params = {'n_init': 15, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
147/162: MAE = 7.8187 ± 14.4436, params = {'n_init': 15, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
148/162: MAE = 6.8805 ± 11.9863, params = {'n_init': 15, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
149/162: MAE = 7.5078 ± 14.2397, params = {'n_init': 15, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
150/162: MAE = 8.9882 ± 15.9023, params = {'n_init': 15, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
151/162: MAE = 10.8982 ± 17.6169, params = {'n_init': 15, 'n_iter': 70, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
